Date,Open,High,Low,Close,Adj Close,Volume,Day
2016-12-14,84.050003,85,83.400002,83.599998,83.599998,154800,814
2016-12-15,83.849998,84.150002,82.300003,82.75,82.75,170000,815
2016-12-16,83.050003,83.699997,81.900002,82.150002,82.150002,816400,816
2016-12-19,82,83.050003,82,82.900002,82.900002,268300,817
2016-12-20,83.150002,83.900002,82.849998,83.400002,83.400002,177300,818
2016-12-21,83.449997,83.949997,82.949997,83.699997,83.699997,91800,819
2016-12-22,83.650002,83.949997,83.050003,83.900002,83.900002,125700,820
2016-12-23,83.800003,84.830002,83.800003,84.599998,84.599998,92500,821
2016-12-27,84.349998,85.5,84.349998,85.449997,85.449997,79400,822
2016-12-28,85.449997,85.699997,84.349998,84.900002,84.900002,82100,823
2016-12-29,84.699997,85.5,84.599998,85.349998,85.349998,98300,824
2016-12-30,85.349998,85.349998,84.050003,84.449997,84.449997,118300,825
2017-01-03,85.349998,86,84.379997,85.75,85.75,205400,826
2017-01-04,85.949997,88.050003,85.949997,87.650002,87.650002,299200,827
2017-01-05,87.349998,89.599998,87.050003,89.25,89.25,382900,828
2017-01-06,90.849998,96.449997,89.150002,96.099998,96.099998,813300,829
2017-01-09,95.650002,95.75,92,92.099998,92.099998,631300,830
2017-01-10,92,94.099998,91.800003,93.400002,93.400002,311000,831
2017-01-11,93.400002,93.400002,91.699997,92,92,224500,832
2017-01-12,92.150002,92.599998,90.300003,92.349998,92.349998,203400,833
2017-01-13,92.849998,93.099998,91.800003,92.150002,92.150002,186300,834
2017-01-17,91.849998,93.449997,91.400002,92.800003,92.800003,283000,835
2017-01-18,93.199997,93.449997,91.739998,92.800003,92.800003,158300,836
2017-01-19,92.900002,93.099998,90.580002,90.650002,90.650002,151600,837
2017-01-20,90.650002,92.150002,90.550003,90.900002,90.900002,119000,838
2017-01-23,90.699997,91.349998,90.199997,90.949997,90.949997,219200,839
2017-01-24,91.099998,92.349998,90.900002,92,92,200100,840
2017-01-25,92.300003,93.5,92.300003,92.949997,92.949997,238000,841
2017-01-26,92.550003,93.25,92.25,92.949997,92.949997,226200,842
2017-01-27,92.949997,93.699997,92.400002,92.949997,92.949997,253200,843
2017-01-30,92.550003,92.849998,91.599998,92.349998,92.349998,158300,844
2017-01-31,92.25,93.599998,91.900002,93.300003,93.300003,130400,845
2017-02-01,93.25,93.25,92.5,92.900002,92.900002,134000,846
2017-02-02,93.050003,93.550003,90,93,93,240200,847
2017-02-03,93.349998,93.599998,91.830002,93.050003,93.050003,128700,848
2017-02-06,92.849998,95,90.400002,93.550003,93.550003,192700,849
2017-02-07,93.800003,94.849998,93.5,93.599998,93.599998,148200,850
2017-02-08,93.449997,94.650002,93.199997,94.300003,94.300003,112600,851
2017-02-09,94.5,95.5,94.150002,95.300003,95.300003,94800,852
2017-02-10,95.550003,96.099998,95,95.699997,95.699997,79500,853
2017-02-13,95.849998,96.150002,94.949997,95.099998,95.099998,73200,854
2017-02-14,94.75,96.599998,94.5,96.349998,96.349998,155800,855
2017-02-15,95.800003,98.25,95.800003,98.150002,98.150002,192600,856
2017-02-16,98.449997,98.449997,96.75,97.550003,97.550003,87000,857
2017-02-17,97.599998,98.25,97.300003,97.949997,97.949997,111400,858
2017-02-21,98.599998,99.300003,98.25,99,99,97200,859
2017-02-22,99,99.550003,98.099998,98.5,98.5,117600,860
2017-02-23,98.5,98.849998,97.800003,98.400002,98.400002,145600,861
2017-02-24,98.25,99.199997,97.449997,98.949997,98.949997,152800,862
2017-02-27,98.699997,99.199997,98.25,99,99,118300,863
2017-02-28,98.650002,98.800003,97.349998,97.699997,97.699997,187200,864
2017-03-01,98.599998,99.25,98.150002,98.449997,98.449997,141400,865
2017-03-02,98.349998,98.449997,97.449997,97.550003,97.550003,70000,866
2017-03-03,97.449997,98.25,96.349998,96.349998,96.349998,95400,867
2017-03-06,95.75,96,92.099998,95.25,95.25,114000,868
2017-03-07,95,95.199997,94.150002,94.199997,94.199997,77000,869
